code,title
A00,A09 Boli infectioase intestinale
A00.0,"Holera cu Vibrio cholerae 01, biovar cholerae Holera clasica"
A00.1,"Holera cu Vibrio cholerae 01, biovar eltor Holera eltor"
A00.9,"Holera, nespecificata"
A01,Febre tifoide si paratifoide
A01.0,Febra tifoida Infectie datorita Salmonellei typhi
A01.1,Paratifosul A
A01.2,Paratifosul B
A01.3,Paratifosul C
A01.4,"Paratifos, nespecificat Infectie datorita Salmonellei paratyphi NOS"
A02,Alte salmonelloze Include: infectie sau intoxicatie alimentara datorita altor specii de Salmonella decat S. typhi si S. Paratyphi
A02.0,Enterita cu Salmonella Salmonelloza
A02.1,Sepsis cu Salmonella Infectii localizate cu Salmonella Salmonella: - artrita (M01.3-*) - meningita (G01*) - osteomielita (M90.2-*) - pneumonia (J17.0*) - boala renala tubulo-interstitiala (N16.0*)
A02.8,Alte infectii specificate prin Salmonella
A02.9,"Salmonelloze, nespecificata"
A03,Shigelloza
A03.0,Shigelloza datorita Shigellei dyzenteriae Shigelloza grup A [dizenteria Shiga-Kruse]
A03.1,Shigelloza datorita Shigellei flexneri Shigelloza grup B Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 2
A03.2,Shigelloza datorita Shigellei boydii Shigelloza grup C
A03.3,Shigelloza datorita Shigellei sonnei Shigelloza grup D
A03.8,Alte shigelloze
A03.9,"Shigelloza, nespecificata Dizenteria bacilara NOS"
A04,Alte infectii intestinale bacteriene Exclude: intoxicatii bacteriene de origine alimentara (A05.F) enterita tuberculoasa (A18.3)
A04.0,Infectia enteropatogena prin Escherichia coli patogen
A04.1,Infectia enterotoxigena prin Escherichia coli toxigen
A04.2,Infectia enteroinvaziva prin Escherichia coli
A04.3,Infectia enterohemoragica prin Escherichia coli
A04.4,Alte infectii intestinale prin Escherichia coli Enterita prin Escherichia coli NOS /UIdown 1122 Enterita prin Campylobacter
A04.6,Enterita prin Yersinia enterocolitica Exclude: yersinioza extraintestinala
A04.7,Enterocolita prin Clostridium difficile
A04.8,Alte infectii intestinale bacteriene specificate
A04.9,"Infectia intestinala bacteriana, nespecificata Enterita bacteriana NOS"
A05,Alte intoxicatii bacteriene de origine alimenta ra alimentara Exclude: infectia Escherichia coli (A04.0F listerioza (A32.F) intoxicatia si infectia cu Salmonella de origine alimentara (A02.F) efectul toxic al produselor alimentare nocive (T61FT62)
A05.0,Intoxicatia alimentara prin stafilococi
A05.1,Botulismul Intoxicatia alimentara clasica datorita Clostridium botulinum
A05.2,Intoxicatia alimentara prin Clostridium perfringens [Clostridium welchii] Enterita acuta necrozanta Pig-bel
A05.3,Intoxicatia alimentara prin Vibrio parahaemolyticus
A05.4,Intoxicatia alimentara prin Bacillus cereus
A05.8,Alte intoxicatii alimentare de origine bacteriana
A05.9,"Intoxicatia alimentara de origine bacteriana, nespecificata"
A06,Amibiaza Include: infectia datorita Entamoeba histolytica Exclude: alte boli intestinale prin protozoare (A07.F)
A06.0,Dizenteria amibiana acuta Amibiaza acuta Amibiaza intestinala NOS
A06.1,Amibiaza intestinala cronica
A06.2,Colita amibiana nedizenterica
A06.3,Amiliaza (intestinala) Amiliaza NOS
A06.4,Abcesul amibian al ficatului Amibiaza hepatica
A06.5,Abcesul amibian al plamanului Abcesul amibian al plamanului (si ficatului)
A06.6,Abcesul amibian al creierului Abcesul amibian al creierului (si ficatului) (si plamanului)
A06.7,Amibiaza cutanata
A06.8,Alte localizari ale unei infectii amibiene Amibiaza: - apendicita - balanita† (N51.2*)
A06.9,"Amibiaza, nespecificata"
A07,Alte boli intestinale protozoare
A07.0,Balantidiaza Dizenteria balantidiana
A07.1,Giardiaza [lambliaza]
A07.2,Cryptosporidioza
A07.3,Infectia cu Isospora Infectia datorita Isospora belli si Isospora hominis Coccidioza intestinala Isosporoza
A07.8,"Alte boli intestinale prin protozoare, specificate Trichomonaza intestinala Sarcocystoza Sarcosporidioza"
A07.9,"Boala intestinala prin protozoare, nespecificata Diareea prin flagellate Prin protozoare: - colita - diaree - dizenterie Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 3"
A08,"Infectii virale si alte infectii intestinale sp ecificate intestinale specificate Exclude: gripa cu implicarea tractului gastrointestinal (J10.8, 007 Tuberculoza respiratorie A15–A16 008 Alte forme de tuberculoz ă A17–A19 009 Pesta A20 010 Brucelloza A23 011 Lepra A30 012 Tetanos al nou-n ăscutului A33 013 Alte forme de tetanos A34–A35 014 Difteria A36 015 Tusea convulsiv ă A37 016 Infec ţia meningococic ă A39 017 Septicemia A40–A41 018 Alte boli bacteriene A21–A22,"
A08.0,Enterita prin Rotavirus
A08.1,GastroFenteropatia acuta prin agentul Norwalk Enterita cu virus mic rotund
A08.2,Enterita prin adenovirus
A08.3,Alte enterite virale
A08.4,"Infectia intestinala virala, nespecificata Virala: - enterita NOS - gastroenterita NOS - gastroenteropatia NOS"
A08.5,Alte infectii intestinale specificate
A09,"Diareea si gastro-enterita probabil infectioase Tuberculoza (A15-A19) /UIdown Diareea si gastro-enterita probabil infectioase Catar, enteric sau intestinal NOS, hemoragica, septica: - colita - enterita - gastroenterita Diareea: - dizenterica - epidemica Boala diareica infectioasa NOS Exclude: datorita agentilor bacterieni, protozoare, virali si alti agenti infectiosi specificati diareea neinfectioasa (K52.9) F neonatala (P78.3) Tuberculoza (A15-A19) Include: infectii datorita Mycobacterium tuberculosis si Mycobacterium bovis Exclude: tuberculoza congenitala (P37.0) pneumoconioza asociata cu tuberculoza sechele ale tuberculozei (B90.F) silicoFtuberculoza (J65) 1-004 Alte boli infec ţioase intestinale A01–A08 1-005 Tuberculoza respiratorie A15–A16 1-006 Alte tuberculoze A17–A19 1-007 Pesta A20 1-008 Tetanos A33–A35 1-009 Difteria A36 1-010 Tusea convulsiv ă A37 1-011 Infec ţia meningococic ă A39 1-012 Septicemia A40–A41 1-013 Infec ţii al c ăror mod de transmitere este în special sexual 1-014 Poliomielita acuta A80 1-015 Rabia A82 1-016 Febra galben ă A95 1-017 Alte febre virale transmise de artropode şi febre virale hemoragice 1-018 Rujeola B05 1-019 Hepatita viral ă B15–B19 1-020 Boala prin virusul imunodeficien ţei umane [HIV] 1-021 Paludism (malaria) B50–B54 1-022 Leishmaniaza B55 1-023 Tripanosomiaza B56–B57 1-024 Schistosomiaza B65 1-025 Restul de anumite boli infec ţioase şi parazitare 2-003 Alte boli infec ţioase intestinale 2-004 Tuberculoza respiratorie A15–A16 2-005 Alte forme de tuberculoz ă A17–A19 2-006 Pesta A20 2-007 Tetanos A33–A35 2-008 Difteria A36 2-009 Tusea convulsiv ă A37 2-010 Infec ţia meningococic ă A39 2-011 Septicemia A40–A41 2-012 Infec ţii al c ăror mod de transmitere este în special sexual 2-013 Poliomielita acut ă A80 2-014 Rabia A82 2-015 Febra galben ă A95 2-016 Alte febre virale transmise de artropode şi febre virale hemoragice 2-017 Rujeola B05 2-018 Hepatita viral ă B15–B19 2-019 Boala prin virusul imuno- deficien ţei umane (HIV) 2-020 Paludism (malaria) B50–B54 2-021 Leishmaniaza B55 2-022 Tripanosomiaza B56–B57 2-023 Schistosomiaza B65 2-024 Restul de boli infec ţioase şi parazitare 3-003 Alte boli infec ţioase intestinale 3-004 Tuberculoza A15–A19 3-005 Tetanus A33, A35 3-006 Difteria A36 3-007 Tusea convulsiv ă A37 3-008 Infec ţia meningococic ă A39 3-009 Septicemia A40–A41 3-010 Poliomielita acut ă A80 3-011 Rujeola B05 3-012 Boala prin virusul imuno- deficien ţei umane (HIV) 3-013 Alte boli virale A81–B04, 3-014 Palusdim (malaria) B50–B54 3-015 Restul de boli infec ţioase şi parazitare 3-016 Tumori C00–D48 3-017 Leucemia C91–C95 3-018 Restul de tumori maligne C00–C90, 4-002 Alte boli infec ţioase intestinale 4-003 Tuberculoza A15–A19 4-004 Tetanos A33, A35 4-005 Difteria A36 4-006 Tusea convulsiv ă A37 4-007 Infec ţia meningococic ă A39 4-008 Septicemia A40–A41 4-009 Poliomielita acut ă A80 4-010 Rujeola B05 4-011 Boala prin virusul imuno- deficien ţei umane (HIV) 4-012 Alte boli virale A81–B04, 4-013 Palusdim (malaria) B50–B54 4-014 Restul de boli infec ţioase şi parazitare 4-015 Leucemia C91–C95 4-016 Restul de tumori maligne C00–C90, 006 Alte boli infec ţioase intestinale"
A15,Tuberculoza respiratorie confirmata bacteriologic si histologic bacteriologic si histologic
A15.0,"Tuberculoza pulmonara, confirmata prin examen microscopic al sputei, cu sau fara culturi Tuberculos/tuberculoasa: - bronsiectazia confirmata prin examen microscopic al sputei cu sau fara cultura - fibroza plamanului confirmata prin examen microscopic al sputei cu sau fara cultura - pneumonia confirmata prin examen microscopic al sputei cu sau fara cultura - pneumotorax confirmat prin examen microscopic al sputei cu sau fara cultura"
A15.1,"Tuberculoza pulmonara, confirmata numai prin culturi Tuberculos/tuberculoasa: - bronsiectazia confirmata numai prin cultura - fibroza plamanului confirmata numai prin cultura - pneumonia confirmata numai prin cultura - pneumotorax confirmat numai prin cultura"
A15.2,"Tuberculoza pulmonara, cu confirmare histologica Tuberculos/tuberculoasa: - bronsiectazia confirmata histologic - fibroza plamanului confirmata histologic - pneumonia confirmata histologic - pneumotorax confirmat histologic"
A15.3,"Tuberculoza pulmonara, confirmata prin metode nespecificate Tuberculos/tuberculoasa: - bronsiectazia confirmata dar nespecificata daca este bacteriologica sau histologica - fibroza plamanului confirmata dar nespecificata daca este bacteriologica sau histologica - pneumonia confirmata dar nespecificata daca este bacteriologica sau histologica - pneumotorax confirmat dar nespecificat daca este bacteriologic sau histologic"
A15.4,"Tuberculoza ganglionilor limfatici intratoracici, cu confirmare bacteriologica si histologica Tuberculoza ganglionilor limfatici: - hilara confirmata bacteriologic si histologic - mediastinala confirmata bacteriologic si histologic - traheo-bronsica confirmata bacteriologic si histologic Exclude: specificata a fi primoFinfectie Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 4"
A15.5,"Tuberculoza laringelui, traheii si bronhiilor, cu confirmare bacteriologica si histologica Tuberculoza: - bronhiilor confirmata bacteriologic si histologic - glotei confirmata bacteriologic si histologic - laringelui confirmata bacteriologic si histologic - traheei confirmata bacteriologic si histologic"
A15.6,"Pleurezia tuberculoasa, cu confirmare bacteriologica si histologica Tuberculoza pleurei confirmata bacteriologic si histologic Empiemul tuberculos confirmat bacteriologic si histologic Exclude: in tuberculoza respiratorie primara confirmata bacteriologic si histologic"
A15.7,"PrimoFinfectia tuberculoasa a cailor respiratorii, cu confirmare bacteriologica si histologica"
A15.8,"Alte forme de tuberculoza a cailor respiratorii, cu confirmare bacteriologica si histologica Tuberculoza mediastinala confirmata bacteriologic si histologic Tuberculoza nazo-faringiana confirmata bacteriologic si histologic Tuberculoza: - nasului confirmata bacteriologic si histologic - sinusului [oricare nazal] confirmata bacteriologic si histologic"
A15.9,"Tuberculoza cailor respiratorii, nespecificată, cu confirmare bacteriologica si histologica"
A16,Tuberculoza respiratorie neconfirmata bacteriologic si histologic neconfirmata bacteriologic si histologic
A16.0,"Tuberculoza pulmonara, cu investigatii bacteriologice sau histologice negative Tuberculos/tuberculoasa: - bronsiectazia negativa bacteriologic si histologic - fibroza plamanului negativa bacteriologic si histologic - pneumonia negativa bacteriologic si histologic - pneumotorax negativ bacteriologic si histologic"
A16.1,"Tubercoloza pulmonara, fara investigatii bacteriologice sau histologice Tuberculos/tuberculoasa: - bronsiectazia, examenele bacteriologice si histologice neefectuate - fibroza plamanului, examenele bacteriologice si histologice neefectuate - pneumonia, examenele bacteriologice si histologice neefectuate - pneumotorax, examenele bacteriologice si histologice neefectuate"
A16.2,"Tuberculoza pulmonara, fara mentiunea de confirmare bacteriologica sau histologica Tuberculoza plamanului Tuberculos/tuberculoasa: - bronsiectazia NOS (fara mentionarea confirmarii bacteriologice si histologice) - fibroza plamanului NOS (fara mentionarea confirmarii bacteriologice si histologice) - pneumonia NOS (fara mentionarea confirmarii bacteriologice si histologice) - pneumotorax NOS (fara mentionarea confirmarii bacteriologice si histologice)"
A16.3,"Tuberculoza ganglionilor limfatici intratoracici, fara mentiunea de confirmare bacteriologica sau histologica Tuberculoza ganglionilor limfatici: - hilara NOS (fara mentionarea confirmarii bacteriologice si histologice) - intratoracica NOS (fara mentionarea confirmarii bacteriologice si histologice) - mediastinala NOS (fara mentionarea confirmarii bacteriologice si histologice) - traheo-bronsica NOS (fara mentionarea confirmarii bacteriologice si histologice) Exclude: cand este specificata a fi primoF infectie (A16.7)"
A16.4,"Tuberculoza laringelui, traheii si bronhiilor, fara mentiunea de confirmare bacteriologica sau histologica Tuberculoza: -bronhiilor NOS (fara mentionarea confirmarii bacteriologice si histologice) - glotei NOS (fara mentionarea confirmarii bacteriologice si histologice) - laringelui NOS (fara mentionarea confirmarii bacteriologice si histologice) - traheei NOS (fara mentionarea confirmarii bacteriologice si histologice) Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 5"
A16.5,Pleurezia tuberculoasa fara mentiunea de confirmare bacteriologica sau histologica Tuberculoza pleurei NOS (fara mentionarea confirmarii bacteriologice si histologice) Tuberculos/tuberculoasa: - empiem NOS (fara mentionarea confirmarii bacteriologice si histologice) - pleurezia NOS (fara mentionarea confirmarii bacteriologice si histologice) Exclude: in tuberculoza respiratorie primara (A16.7)
A16.7,"PrimoFinfectia tuberculoasa a cailor respiratorii, fara mentiunea de confirmare bacteriologica sau histologica Primar/primara: - tuberculoza respiratorie NOS - complex tuberculos"
A16.8,Alte forme de tuberculoza ale cailor respiratorii fara mentiunea de confirmare bacteriologica sau histologica Tuberculoza mediastinala Tuberculoza nazo-faringiana NOS (fara mentionarea confirmarii bacteriologice si histologice) Tuberculoza: - nasului NOS (fara mentionarea confirmarii bacteriologice si histologice) - sinusului [oricare nazal] NOS (fara mentionarea confirmarii bacteriologice si histologice)
A16.9,"Tuberculoza cailor respiratorii, nespecificata, fara mentiunea confirmarii bacteriologice sau histologice Tuberculoza respiratorie NOS Tuberculoza NOS"
A17,Tuberculoza sistemului nervos
A17.0,Meningita tuberculoasa Tuberculoza meningelor (cerebral) (spinal) Tuberculoza leptomeningelui
A17.1,Tuberculomul meningeal Tuberculomul meningelor A17.8† Alte forme de tuberculoza a sistemului nervos Tuberculom al creierului (G07*) Tuberculom al maduvei spinarii (G07*) Tuberculos/tuberculoasa: - abcesul creierului (G07*) - meningo-encefalita (G05.0*) - mielita (G05.0*) - polineuropatia (G63.0*)
A17.9,"Tuberculoza sistemului nervos, nespecificata"
A18,Tuberculoza altor organe A18.0† Tuberculoza oaselor si articulatiilor Tuberculoza: - soldului (M01.15*) - genunchiului (M01.16*) - coloanei vertebrale (M49.0*) Tuberculos/tuberculoasa: - artrita (M01.1-*) - mastoidita (H75.0*) - necroza osului (M90.0-*) - osteita (M90.0-*) - osteomielita (M90.0-*) - sinovita (M68.0-*) - teno-sinovita (M68.0-*) A18.1† Tuberculoza sistemului genitoFurinar Tuberculoza: - vezicii urinare (N33.0*) - colului uterin (N74.0*) - rinichiului (N29.1*) - organelor genitale masculine (N51.-*) - ureter (N29.1*) Boala inflamatorie pelviana feminina tuberculoasa (N74.1*)
A18.2,"Limfadenopatia tuberculoasa periferica Adenita tuberculoasa Exclude: tuberculoza ganglionilor limfatici: F intratoracica (A15.4, A16.3) F mezenterica si retroperitoneala (A18.3) F adenopatia traheobronsica tuberculoasa (A15.4, A16.3)"
A18.3,"Tuberculoza intestinului, peritoneului si ganglionilor mezenterici Tuberculoza : - anusului si rectului - retroperitoneala (ganglioni limfatici) Tuberculoasa: - ascita - enterita - peritonita† (K67.3*)"
A18.4,"Tuberculoza pielii si tesutului celular subcutanat Erythema induratum, tuberculoasa Lupus: - exedens - vulgaris: - al pleoapei† (H03.1*) Scrofuloza Exclude: lupus eritematos: F sistemic (M32.F) Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 6 A18.5† Tuberculoza ochiului Tuberculoasa: - chorioretinita (H32.0*) - episclerita (H19.0*) - keratita interstitiala (H19.2*) - iridociclita (H22.0*) - keratoconjunctivita (interstitiala) (flictenulara) (H19.2*) Exclude: lupus vulgaris al pleoapei A18.6† Tuberculoza urechii Otita medie tuberculoasa (H67.0*) Exclude: mastoidita tuberculoasa"
A18.7,"Tuberculoza glandelor suprarenale Boala Addison, tuberculoasa A18.8† Tuberculoza altor organe, specificata Tuberculoza: - endocardului (I39.8*) - miocardului (I41.0*) - esofagului (K23.0*) - pericardului (I32.0*) - glandei tiroide (E35.0*) Arterita cerebrala tuberculoasa (I68.1*)"
A19,Tuberculoza miliara Unele antropozoonoze bacteriene Include: tuberculoza: F diseminata F generalizata poliserita tuberculoasa
A19.0,"Tuberculoza miliara acuta, localizare unica si specificată"
A19.1,"Tuberculoza miliara acuta, localizari multiple"
A19.2,"Tuberculoza miliara acuta, nespecificata"
A19.8,Alte tuberculoze miliare
A19.9,"Tuberculoza miliara, nespecificata Unele antropozoonoze bacteriene"
A20,A28 Unele antropozoonoze bacteriene Include: in fectia datorita Yersinia pestis
A20.0,Pesta bubonica
A20.1,Pesta cutanata
A20.2,Pesta pulmonara
A20.3,Pesta meningeala
A20.7,Pesta septicemica
A20.8,Alte forme de pesta Pesta avortiva Pesta asimptomatica Pesta minora
A20.9,"Pesta, nespecificata"
A21,Tularemia Include: febra transmisa de musca chrisops (cal) infectia datorita Francisella tularensis febra transmisa de iepure
A21.0,Tularemia ulceroFglandulara
A21.1,Tularemia oculoFglandulara Tularemia oftalmica
A21.2,Tularemia pulmonara
A21.3,Tularemia gastroFintestinala Tularemia abdominala
A21.7,Tularemia generalizata
A21.8,Alte forme de tularemie
A21.9,"Tularemia, nespecificata"
A22,Antrax Include: infectia cu Bacillus anthracis
A22.0,Antrax cutanat Malign/maligna: - carbuncul - pustula
A22.1,Antrax pulmonar Antrax prin inhalare Boala colectorilor de zdrente Boala sortatorilor de lana
A22.2,Antrax gastroFintestinal
A22.7,Septicemie carbunoasa
A22.8,Alte forme de antrax Meningita carbunoasa† (G01*)
A22.9,"Antrax, nespecificat"
A23,Brucelloza Include: febra (de): F Malta F mediteraneana F ondulanta
A23.0,Brucelloza cu Brucella melitensis
A23.1,Brucelloza cu Brucela abortus
A23.2,Brucelloza cu Brucella suis
A23.3,Brucelloza cu Brucella canis
A23.8,Alte brucelloze
A23.9,"Brucelloza, nespecificata"
A24,Morva si melioidoza
A24.0,Morva Infectia cu Pseudomonas mallei Malleus
A24.1,Melioidoza acuta sau galopanta Melioidoza: - pneumonia - sepsis - septicemia Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 7
A24.2,Melioidoza subacuta si cronica
A24.3,Alte melioidoze
A24.4,"Melioidoza, nespecificata Infectia datorita Burkholderia pseudomallei NOS Boala Whitmore"
A25,Febre datorite muscaturii de sobolan
A25.0,Spiriloza Sodoku
A25.1,Streptobaciloza Eritemul artritic epidemic Febra de Haverhill Febra streptobacilara datorita muscaturii de sobolan
A25.9,"Febra cauzata de muscatura de sobolan, nespecificata"
A26,Erizipeloid
A26.0,Erizipeloid cutanat Eritemul migrant
A26.7,Sepsis cu Erysipelothrix
A26.8,Alte erizipeloide
A26.9,"Erizipeloid, nespecificat"
A27,Leptospiroza
A27.0,Leptospiroza icteroFhemoragica Leptospiroza datorita Leptospira interrogans serovar icterohaemorhagiae
A27.8,Alte forme de leptospiroza
A27.9,"Leptospiroza, nespecificata"
A28,"Alte boli bacteriene antropozoonoze, neclasificate altundeva Alte boli bacteriene (A30-A49) neclasificate altundeva Pasteurelloza"
A28.1,Boala de zgarietura de pisica Febra zgarieturii de pisica
A28.2,Yersinioza extraFintestinala Exclude: enterita datorita Yersinia enterocolitica (A04.6) pesta (A20.F)
A28.8,"Alte antropoFzoonoze bacteriene, specificate, neclasificate altundeva AntropoFzoonoze bacteriene, nespecificate Alte boli bacteriene (A30-A49)"
A30,Lepr ă [boala Hansen] 2. Pentru notele explicative. Include: infectia datorita Mycobacterium leprae Exclude: sechele ale leprei (B92)
A30.0,Lepra nedeterminata Lepra grupa I
A30.1,Lepra tuberculoida Lepra grup TT
A30.2,Lepra tuberculoida de tip intermediar atipic Lepra grup BT
A30.3,Lepra de tip intermediar atipic Lepra grup BB
A30.4,Lepra lepromatoasa de tip intermediar atipic Lepra grup BL
A30.5,Lepra lepromatoasa Lepra grup LL
A30.8,Alte forme de lepra
A30.9,"Lepra, nespecificata"
A31,Infectie datorita altor micobacterii Exclude: lepra (A30.F) tuberculoza (A15FA19)
A31.0,Infectia pulmonara cu Mycobacterium Infectie datorita Mycobacterium: - avium - intracelular [Battey bacillus] - kansasii
A31.1,Infectia cutanata cu Mycobacterium Ulcerul Buruli Infectie datorita Mycobacterium: - marinum - ulcerans
A31.8,Alte infectii cu Mycobacterium
A31.9,"Infectia cu Mycobacterium, nespecificata Infectia atipica cu Mycobacterium NOS Micobacterioza NOS"
A32,Listerioza Include: infectia listeriana pe cale alimentara Exclude: listerioza neonatala (diseminata) (P37.2)
A32.0,Listerioza cutanata A32.1† Meningita si meningoencefalita listeriana Listeriana: - meningita (G01*) - meningoencefalita (G05.0*)
A32.7,Sepsis listerian
A32.8,Alte listerioze Listeriana: - arterita cerebrala† (I68.1*) - endocardita† (I39.8*) Listerioza oculo-glandulara
A32.9,"Listerioza, nespecificata Anumite boli infectioase si parazitare Lista Tabelar ă a Bolilor ICD-10-AM 2002 8"
A33,Tetanosul nou-nascutului Tetanosul nou-nascutului
A34,Tetanosul obstetrical Tetanosul obstetrical
A35,Alte forme de tetanos Alte forme de tetanos Tetanos NOS Exclude: tetanosul: F nouFnascutului (A33) F obstetrical (A34)
A36,Difteria
A36.0,Difteria faringiana Angina membranoasa difterica Difteria amigdaliana
A36.1,Difteria nazoFfaringiana
A36.2,Difteria laringiana Laringo-traheita difterica
A36.3,Difteria cutanata Exclude: erytrasma (L08.1)
A36.8,Alte forme de difterie Difterica: - conjunctivita† (H13.1*) - miocardita† (I41.0*) - polinevrita† (G63.0*)
A36.9,"Difteria, nespecificata"
A37,Tusea convulsiva
A37.0,Tusea convulsiva cu Bordetella pertussis
A37.1,Tusea convulsiva cu Bordetella parapertussis
A37.8,Tusea convulsiva datorata altor specii de Bordetella
A37.9,"Tusea convulsiva, nespecificata"
A38,Scarlatina Scarlatina Scarlatina Exclude: durerea de gat streptococica
A39,Infectia meningococica
A39.0,Meningita meningococica A39.1† Sindromul WaterhouseFFriderichsen Suprarenalita hemoragica cu meningococi Sindromul meningococic suprarenal
A39.2,Meningococemia acuta
A39.3,Meningococemia cronica
A39.4,"Meningococemia, nespecificata Meningococemia bacteriana NOS"
