county,locality
Alba,Abrud
Alba,Abrud-Sat
Alba,Achimetesti
Alba,Acmariu
Alba,Aiud
Alba,Aiudul de Sus
Alba,Alba Iulia
Alba,Albac
Alba,Alecus
Alba,Almasu de Mijloc
Alba,Almasu Mare
Alba,Ambru
Alba,Ampoita
Alba,Anghelesti
Alba,Arada
Alba,Arieseni
Alba,Aronesti
Alba,Arti
Alba,Asinip
Alba,Avram Iancu
Alba,Avramesti
Alba,Baba
Alba,Bacainti
Alba,Bacesti
Alba,Badai
Alba,Bagau
Alba,Bai
Alba,Baia de Aries
Alba,Baiesi
Alba,Balcaciu
Alba,Balesti
Alba,Balesti-Catun
Alba,Balmosesti
Alba,Balomiru de Camp
Alba,Baltesti
Alba,Barabant
Alba,Barasti
Alba,Barbesti
Alba,Bardesti
Alba,Barlesti
Alba,Barlesti-Catun
Alba,Barsana
Alba,Barzan
Alba,Barzogani
Alba,Bazesti
Alba,Beldiu
Alba,Belioara
Alba,Bendesti
Alba,Benic
Alba,Berghin
Alba,Beta
Alba,Bicesti
Alba,Bidigesti
Alba,Biharia
Alba,Biia
Alba,Bilanesti
Alba,Bisericani
Alba,Bistra
Alba,Blaj
Alba,Blaj-Sat
Alba,Blandiana
Alba,Blidaresti
Alba,Blidesti
Alba,Bobaresti
Alba,Boborasti
Alba,Bocesti
Alba,Bocsitura
Alba,Bodesti
Alba,Bodresti
Alba,Bogdanesti
Alba,Boglesti
Alba,Boldesti
Alba,Bolovanesti
Alba,Boncesti
Alba,Bordei
Alba,Bordesti-Gaesti
Alba,Bordestii Poieni
Alba,Borlesti
Alba,Borta
Alba,Botani
Alba,Botesti
Alba,Boz
Alba,Bradeana
Alba,Bradesti
Alba,Bradet
Alba,Brazesti
Alba,Bricesti
Alba,Brusturei
Alba,Bubesti
Alba,Bucerdea Vinoasa
Alba,Bucerdea-Granoasa
Alba,Bucium
Alba,Bucium-Sat
Alba,Bucuru
Alba,Budaiesti
Alba,Budeni
Alba,Budesti
Alba,Bulbuc
Alba,Bulzi
Alba,Buninginea
Alba,Bunta
Alba,Burzesti
Alba,Burzonesti
Alba,Butesti
Alba,Butura
Alba,Cabausesti
Alba,Calene
Alba,Calnic
Alba,Calugaresti
Alba,Campenesti
Alba,Campeni
Alba,Campu Goblii
Alba,Candesti
Alba,Candresti
